OUT0#303.DAT 1 101 61
OUT0#815.DAT 6 603 94
CAS1#101.DAT 0 303 64
CAS1#102.DAT 1 402 B.
CAS1#402.DAT 1 102 ;/
CAS1#203.DAT 0 303 64
CAS2#800.DAT 0 510 =3
CAS2#101.DAT 0 510 =3
CAS3#502.DAT 3 506 B3
CAS3#506.DAT 3 502 A6
CAS3#206.DAT 3 207 22
CAS3#207.DAT 3 206 ?2
CAS4#102.DAT 4 303 C-
CAS4#303.DAT 4 102 3/
CAS4#101.DAT 4 304 :.
CAS4#304.DAT 4 101 9-
CAS5#305.DAT 5 303 /1
CAS5#302.DAT 5 201 1.
CAS5#201.DAT 5 302 =7
CAS6#603.DAT 0 815 97
CAS6#601.DAT 6 102 8.
CAS6#102.DAT 6 601 51
CAS6#104.DAT 6 605 26
CAS6#605.DAT 6 104 0,
CAS6#305.DAT 6 302 12
CAS6#302.DAT 6 305 12
CAV9#200.DAT 0 102 32
OUT0#102.DAT 9 200 A/
CAV8#302.DAT 0 212 9/
CAV8#500.DAT 0 212 9/
OUT0#212.DAT 8 500 06
OUT0#405.DAT 9 408 5.
CAV9#408.DAT 0 405 82
OUT0#500.DAT 9 409 5.
CAV9#409.DAT 0 500 73
OUT0#306.DAT 7 300 40
CAV7#300.DAT 0 306 2-
CAS4#405.DAT 0 806 @5
CAS4#604.DAT 0 806 @5
OUT0#806.DAT 4 405 @4
OUT0#409.DAT 9 300 3-
OUT0#510.DAT 2 800 :3
OUT0#810.DAT 5 303 /1
CAS5#303.DAT 0 810 95
CAS5#400.DAT 0 810 95
CAV9#203.DAT 0 800 :6
OUT0#800.DAT 9 203 ;5
CAS3#101.DAT 0 114 >1
CAS3#204.DAT 0 114 >1
OUT0#114.DAT 3 101 61
CAV9#107.DAT 0 615 =2
OUT0#615.DAT 9 107 4.
CAV9#406.DAT 0 813 8/
OUT0#813.DAT 9 406 44

